timestamp;Buffer;FPS;ReportedBitrate;Resolution;CalcBitrate
1699626542322;3.969;30;3312;1280x720;66
1699626543322;3.243;30;3312;1280x720;204
1699626544322;6.158;30;3312;1280x720;635
1699626545321;5.242;30;3312;1280x720;1286
1699626546322;8.174;30;3312;1280x720;1911
1699626547321;11.118;30;3312;1280x720;2473
1699626548321;14.209;30;3312;1280x720;3105
1699626549321;13.259;30;3312;1280x720;3706
1699626550322;16.191;30;3312;1280x720;4479
1699626551321;15.128;30;3312;1280x720;5121
1699626552322;14.337;30;3312;1280x720;5817
1699626553322;17.18;30;3312;1280x720;6701
1699626554322;16.207;30;3312;1280x720;7357
1699626555322;15.147;30;3312;1280x720;8010
1699626556321;14.352;30;3312;1280x720;8707
1699626557322;13.287;30;3312;1280x720;9432
1699626558322;16.134;30;3312;1280x720;10267
1699626559322;15.158;30;3312;1280x720;10857
1699626560323;14.367;30;3312;1280x720;11545
1699626561322;13.306;30;3312;1280x720;12166
1699626562321;12.239;30;3312;1280x720;12817
1699626563322;11.175;30;3312;1280x720;13335
1699626564322;14.11;24;1867;854x480;14064
1699626565322;13.319;24;1867;854x480;14935
1699626566322;12.255;24;1867;854x480;15571
1699626567322;11.191;24;1867;854x480;16269
1699626568322;10.127;24;1867;854x480;16895
1699626569322;9.335;24;1867;854x480;17563
1699626570322;8.27;24;1867;854x480;18307
1699626571321;7.207;24;1867;854x480;18977
1699626572322;6.11;24;1867;854x480;19706
1699626573322;5.352;24;1867;854x480;20378
1699626574323;4.287;24;1867;854x480;21024
1699626575322;3.223;24;1867;854x480;21389
1699626576322;2.158;24;1867;854x480;21749
1699626577323;1.368;24;1867;854x480;22139
1699626578322;0.303;24;1867;854x480;22339
1699626579321;3.239;24;1867;854x480;22872
1699626580322;2.176;24;1867;854x480;23207
1699626581322;1.111;24;1867;854x480;23617
1699626582322;0.319;24;1867;854x480;23814
1699626583322;0;24;1867;854x480;23814
1699626584322;0;24;1867;854x480;23814
1699626585322;1.15;18;639;426x240;24525
1699626586322;8.568;18;639;426x240;25415
1699626587322;7.509;18;639;426x240;25590
1699626588322;10.446;18;639;426x240;25701
1699626589321;9.398;18;639;426x240;25833
1699626590321;12.346;18;639;426x240;26005
1699626591322;11.546;18;639;426x240;26111
1699626592322;10.479;18;639;426x240;26244
1699626593322;9.416;18;639;426x240;26383
1699626594323;8.359;18;639;426x240;26521
1699626595322;11.346;18;639;426x240;26648
1699626596322;10.491;18;639;426x240;26777
1699626597322;9.426;18;639;426x240;26920
1699626598322;8.368;18;639;426x240;27045
1699626599322;11.569;18;639;426x240;27178
1699626600322;10.505;18;639;426x240;27280
1699626601322;9.441;18;639;426x240;27421
1699626602322;12.376;18;639;426x240;27573
1699626603322;11.585;18;639;426x240;27711
1699626604322;10.522;18;639;426x240;27852
1699626605322;13.446;18;639;426x240;27978
1699626606322;12.384;18;639;426x240;28114
1699626607324;11.403;24;1867;854x480;28253
1699626608322;10.521;24;1867;854x480;28401
1699626609322;9.458;24;1867;854x480;28535
1699626610322;8.401;24;1867;854x480;28674
1699626611321;7.602;24;1867;854x480;28794
1699626612322;6.457;24;1867;854x480;28925
1699626613322;5.473;24;1867;854x480;29067
1699626614322;4.411;18;639;426x240;29197
1699626615322;3.344;18;639;426x240;29334
1699626616322;6.554;18;639;426x240;29465
1699626617322;5.425;18;639;426x240;29592
1699626618322;8.346;18;639;426x240;29725
1699626619322;7.37;18;639;426x240;29855
1699626620322;10.558;18;639;426x240;29978
1699626621322;9.479;18;639;426x240;30108
1699626622322;8.401;18;639;426x240;30243
1699626623323;11.385;18;639;426x240;30367
1699626624323;10.592;18;639;426x240;30496
1699626625322;9.515;18;639;426x240;30619
1699626626322;12.447;18;639;426x240;30737
1699626627322;11.375;18;639;426x240;30872
1699626628322;10.59;18;639;426x240;30983
1699626629322;9.526;18;639;426x240;31086
1699626630322;8.462;18;639;426x240;31207
1699626631322;7.399;18;639;426x240;31337
1699626632322;10.607;18;639;426x240;31465
1699626633322;9.543;18;639;426x240;31604
1699626634322;8.479;18;639;426x240;31743
1699626635322;7.415;18;639;426x240;31861
1699626636322;6.35;18;639;426x240;31976
1699626637322;9.551;18;639;426x240;32100
1699626638322;8.494;18;639;426x240;32229
1699626639321;7.43;18;639;426x240;32355
1699626640322;10.375;18;639;426x240;32486
1699626641322;13.575;18;639;426x240;32580
1699626642322;12.51;18;639;426x240;32728
1699626643322;11.448;18;639;426x240;32861
1699626644322;10.383;18;639;426x240;32997
1699626645322;9.591;18;639;426x240;33161
1699626646322;12.519;18;639;426x240;33284
1699626647322;11.464;18;639;426x240;33407
1699626648322;10.402;18;639;426x240;33526
1699626649322;9.613;18;639;426x240;33648
1699626650322;8.549;18;639;426x240;33740
1699626651322;7.485;18;639;426x240;33899
1699626652322;10.421;18;639;426x240;34008
1699626653322;9.356;18;639;426x240;34153
1699626654322;8.565;18;639;426x240;34287
1699626655322;7.506;18;639;426x240;34420
1699626656322;10.442;18;639;426x240;34544
1699626657322;9.378;18;639;426x240;34686
1699626658323;12.459;18;639;426x240;34812
1699626659322;11.525;18;639;426x240;34953
1699626660322;10.47;18;639;426x240;35091
1699626661322;13.4;18;639;426x240;35193
1699626662322;12.513;18;639;426x240;35323
1699626663322;11.544;18;639;426x240;35446
1699626664322;10.484;18;639;426x240;35579
1699626665322;9.422;18;639;426x240;35715
1699626666322;12.559;18;639;426x240;35829
1699626667322;11.558;18;639;426x240;35936
1699626668322;10.494;18;639;426x240;36096
1699626669322;9.43;18;639;426x240;36248
1699626670322;12.364;18;639;426x240;36355
1699626671322;11.575;18;639;426x240;36491
1699626672322;10.451;18;639;426x240;36618
1699626673322;13.372;18;639;426x240;36754
1699626674322;12.396;18;639;426x240;36893
1699626675322;11.598;18;639;426x240;37036
1699626676322;10.532;18;639;426x240;37171
1699626677322;13.423;18;639;426x240;37309
1699626678323;12.411;18;639;426x240;37478
1699626679323;11.628;18;639;426x240;37602
1699626680322;10.569;18;639;426x240;37748
1699626681322;13.488;18;639;426x240;37889
1699626682322;12.406;18;639;426x240;38016
1699626683322;11.647;18;639;426x240;38150
1699626684322;10.58;18;639;426x240;38270
1699626685322;9.513;18;639;426x240;38394
1699626686322;8.452;18;639;426x240;38513
1699626687322;11.387;18;639;426x240;38657
1699626688322;10.595;18;639;426x240;38793
1699626689322;9.529;18;639;426x240;38937
1699626690322;8.465;18;639;426x240;39073
1699626691323;11.402;18;639;426x240;39207
1699626692322;10.609;18;639;426x240;39338
1699626693322;9.547;18;639;426x240;39462
1699626694322;12.38;18;639;426x240;39597
1699626695322;11.418;18;639;426x240;39723
1699626696322;10.624;18;639;426x240;39840
1699626697322;13.561;18;639;426x240;39962
1699626698322;12.498;18;639;426x240;40083
1699626699322;11.434;18;639;426x240;40185
1699626700322;10.636;18;639;426x240;40305
1699626701322;9.581;18;639;426x240;40412
1699626702322;12.52;18;639;426x240;40560
1699626703322;11.463;18;639;426x240;40705
1699626704322;10.399;18;639;426x240;40856
1699626705322;13.416;18;639;426x240;40989
1699626706322;12.543;18;639;426x240;41119
1699626707322;11.48;18;639;426x240;41252
1699626708322;10.414;18;639;426x240;41390
1699626709322;13.62;18;639;426x240;41523
1699626710322;12.556;18;639;426x240;41658
1699626711322;11.493;18;639;426x240;41794
1699626712322;10.428;18;639;426x240;41928
1699626713342;13.418;18;639;426x240;42067
