timestamp;Buffer;FPS;ReportedBitrate;Resolution;CalcBitrate
1699636814601;3.986;30;3312;1280x720;66
1699636815599;3.117;30;3312;1280x720;455
1699636816602;10.161;30;3312;1280x720;1066
1699636817599;13.255;30;3312;1280x720;1718
1699636818610;16.192;30;3312;1280x720;2343
1699636819600;23.131;30;3312;1280x720;2904
1699636820603;26.168;30;3312;1280x720;3536
1699636821600;25.271;30;3312;1280x720;4138
1699636822599;28.21;30;3312;1280x720;4911
1699636823600;31.147;30;3312;1280x720;5553
1699636824599;34.256;30;3312;1280x720;6248
1699636825600;37.177;30;3312;1280x720;7132
1699636826600;40.225;30;3312;1280x720;7789
1699636827599;43.164;30;3312;1280x720;8442
1699636828599;42.366;30;3312;1280x720;9138
1699636829599;45.224;30;3312;1280x720;9864
1699636830602;48.142;30;3312;1280x720;10699
1699636831602;47.174;30;3312;1280x720;11288
1699636832602;50.114;30;3312;1280x720;11977
1699636833602;49.318;30;3312;1280x720;12598
1699636834599;52.254;30;3312;1280x720;13249
1699636835602;51.19;30;3312;1280x720;13767
1699636836603;50.127;30;3312;1280x720;14495
1699636837602;53.3;30;3312;1280x720;15367
1699636838602;52.272;30;3312;1280x720;16003
1699636839602;51.188;30;3312;1280x720;16701
1699636840602;50.124;30;3312;1280x720;17326
1699636841604;53.332;30;3312;1280x720;17994
1699636842604;52.269;30;3312;1280x720;18739
1699636843602;51.214;30;3312;1280x720;19409
1699636844602;50.117;30;3312;1280x720;20138
1699636845602;49.36;30;3312;1280x720;20809
1699636846602;52.297;30;3312;1280x720;21554
1699636847603;51.238;30;3312;1280x720;22178
1699636848600;50.174;30;3312;1280x720;22765
1699636849602;53.295;30;3312;1280x720;23514
1699636850602;52.315;30;3312;1280x720;24102
1699636851602;51.249;30;3312;1280x720;24835
1699636852601;50.184;30;3312;1280x720;25443
1699636853600;49.121;30;3312;1280x720;26134
1699636854602;52.281;30;3312;1280x720;26819
1699636855602;51.263;30;3312;1280x720;27573
